fund,period,period_original,year,quarter,return_quarterly,dnb_reporter,source_return_post,used_ter_year,asset_management_costs,transaction_costs,ter_annual,ter_quarterly,source_type,confidence,notes,return_after_ter,ter_missing_policy_applied,rf,equity,duration,credit,real_estate,fx,excess_return_after_ter
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,2022Q1,2022K1,2022,1,-0.0819999999999999,Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Kwartaalrendement beleggingen risico fonds (in percentages),2022,0.0034999999999999,0.0013,0.0048,0.0011978460281132364,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.08319784602811314,exact,-0.0014058217413064,-0.0223977336259453,-0.0912795792319826,-0.0515154223393239,-0.0670508354936031,0.0144099202094457,-0.08179202428680674
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,2022Q2,2022K2,2022,2,-0.136,Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Kwartaalrendement beleggingen risico fonds (in percentages),2022,0.0034999999999999,0.0013,0.0048,0.0011978460281132364,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.13719784602811325,exact,-0.001585641426157,-0.117675057365044,-0.1646572088163561,-0.0707463469265827,-0.2429037500506135,0.0640794102374544,-0.13561220460195625
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,2022Q3,2022K3,2022,3,-0.048,Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Kwartaalrendement beleggingen risico fonds (in percentages),2022,0.0034999999999999,0.0013,0.0048,0.0011978460281132364,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.04919784602811324,exact,-0.0004378904438195,0.0209813599606212,-0.090309852129806,-0.0288998831896262,-0.1539763831110683,0.0590657378164869,-0.04875995558429374
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,2022Q4,2022K4,2022,4,0.011,Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Kwartaalrendement beleggingen risico fonds (in percentages),2022,0.0034999999999999,0.0013,0.0048,0.0011978460281132364,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.009802153971886763,exact,0.0030218274182407,-0.0176682826123388,-0.0472064967898824,0.0097659207900369,0.0421389157740175,-0.0845610444030406,0.006780326553646063
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,2023Q1,2023K1,2023,1,0.026,Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Kwartaalrendement beleggingen risico fonds (in percentages),2023,0.0026,0.0006,0.0031999999999999,0.0007990417880670009,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.025200958211932998,exact,0.0058105106032075,0.053938980249117,0.0292830518551843,0.0099672432353232,-0.0702768922695871,-0.0228779562038572,0.0193904476087255
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,2023Q2,2023K2,2023,2,0.02,Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Kwartaalrendement beleggingen risico fonds (in percentages),2023,0.0026,0.0006,0.0031999999999999,0.0007990417880670009,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.019200958211933,exact,0.0080364028860351,0.058708597786077,0.0015975860927222,-0.0042237455419262,-0.0252391232549872,0.0033581915374972,0.0111645553258979
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,2023Q3,2023K3,2023,3,-0.037,Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Kwartaalrendement beleggingen risico fonds (in percentages),2023,0.0026,0.0006,0.0031999999999999,0.0007990417880670009,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.037799041788067,exact,0.008899391029804,-0.007668725558223,-0.0984029278653749,-0.0098902196036458,0.0515654431574934,0.0281172135200603,-0.046698432817871
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,2023Q4,2023K4,2023,4,0.094,Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Kwartaalrendement beleggingen risico fonds (in percentages),2023,0.0026,0.0006,0.0031999999999999,0.0007990417880670009,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.093200958211933,exact,0.0098557065380013,0.0494016589271681,0.1406511339590381,0.0478010503731916,0.2025063986301105,-0.0478809935323651,0.0833452516739317
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,2024Q1,2024K1,2024,1,0.035,Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Kwartaalrendement beleggingen risico fonds (in percentages),2024,0.0021,0.0003,0.0024,0.0005994607547548103,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.03440053924524519,exact,0.0099530480293883,0.107000617868002,-0.0193570928345087,-0.0065477307148837,-0.0455244751418354,0.0247302220261523,0.024447491215856893
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,2024Q2,2024K2,2024,2,-0.009,Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Kwartaalrendement beleggingen risico fonds (in percentages),2024,0.0021,0.0003,0.0024,0.0005994607547548103,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.00959946075475481,exact,0.0096136482821427,0.0313399605437096,-0.0501172215018581,-0.0102865490675988,-0.00989783738366,0.0079670372145518,-0.019213109036897512
