fund,alpha_quarterly,alpha_annualized,alpha_quarterly_ci_low,alpha_quarterly_ci_high,alpha_annualized_ci_low,alpha_annualized_ci_high,t_alpha,p_alpha,r2,n_obs,beta_equity,beta_duration,beta_credit,beta_real_estate,beta_fx,p_alpha_holm
Groothandel,0.002552623985366856,0.010249657849648486,-0.0033336869991127697,0.008438934969846483,-0.013268215254202076,0.03418544262766199,0.8499467817082087,0.3953546746761575,0.9251613549658435,40,0.16896853727329844,0.7071609891699802,0.5985154399699297,-0.008012997873326946,0.04994302164758588,1.0
ABN AMRO Bank,0.002348876057752533,0.00942865941091009,-0.0024939703183389458,0.007191722433844012,-0.009938623955840109,0.029078705488426726,0.9506212090623679,0.34179669818191527,0.9396754447225306,40,0.08518454099141674,0.6076157675466043,0.41219038368460026,0.027405751931019226,0.15576114558823806,1.0
Abbott Nederland,0.002140155732297734,0.008588143759455713,-0.004486380432506019,0.008766691897101487,-0.01782511686904409,0.0355305978684457,0.6330046425898785,0.5267306112502914,0.9195420894442379,40,0.1891788011355547,0.7572379158058938,0.46076093695332393,-0.004507081951209614,-0.05425837414393572,1.0
BPL,0.0020828475617622882,0.008357455933349467,-0.003447936731342983,0.00761363185486756,-0.013720581137800725,0.0308041004892865,0.7381062051959236,0.4604499133055632,0.9341786562137708,40,0.28570745832864475,0.3767533293411506,0.12394991753811879,0.0851796207749747,-0.06559434827181809,1.0
Flexsecurity,0.0020724982445703096,0.008315800098156911,-0.00041715521970757743,0.004562151708848197,-0.0016675770583067795,0.018373866450288823,1.6315611693205916,0.10277196396650565,0.9348780366758817,25,0.09506584756836313,0.23102389941979004,0.32210131107200596,-0.007360710620347999,0.050800722541605205,1.0
Architectenbureaus,0.0019514524530957135,0.007828688552769858,-0.0016530871611165061,0.005555992067307933,-0.006595970523571082,0.02240986954198143,1.0610998726520726,0.28864451574446237,0.9559940758570658,40,0.26453365850569827,0.41883233540998777,0.5217808538537605,-0.01547240258056749,-0.11419692508381003,1.0
Zorgverzekeraars,0.0019482513267795297,0.007815809000698337,-0.003606068935768254,0.007502571589327313,-0.01434644074439162,0.03034971024484956,0.6874833017944657,0.49177821980656655,0.9330122534522733,38,0.08918095723058725,0.5351782579669819,0.4580725018594504,0.04593067937248686,0.037239355049210054,1.0
Pensioenkring Randstad (Hnp),0.0018939186876064332,0.007597223504662853,-0.0036874602684635466,0.007475297643676413,-0.014668457268523616,0.03023814502722577,0.6650708447809315,0.506005181437913,0.9501157885540852,20,0.0383336633663031,0.7172170227955174,0.37421860293143494,-0.021237551947109523,0.018284147454039834,1.0
Samenwerking / Slagersbedrijf,0.0018179333670023763,0.007291586801511762,-0.0027277046133533404,0.006363571347358093,-0.010866257343861152,0.02569828804335028,0.7838468309655109,0.4331299909676054,0.9289860028288505,40,0.1988248568038451,0.44279274983582007,0.05870741313153066,0.05536889090409165,0.03837612332860274,1.0
Roeiers in het Rotterdamse havengebied,0.001816957764745393,0.007287663076542161,-6.137587762996915e-05,0.0036952914071207554,-0.00024548090945464285,0.014863298725904084,1.8959207778591838,0.057970520993720305,0.9646933065751124,40,0.23272281984684212,0.19717574425142778,0.4515368475322491,-0.016529199535858297,-0.09873491525555224,1.0
Kring McCain (De Nationale),0.0017359595604157173,0.006961940509959019,-0.005106933739957999,0.008578852860789434,-0.020271782417381812,0.03475952265968152,0.4972192415811848,0.6190344539929669,0.9142238655543963,31,0.23203239911119294,0.6123693440869024,0.3649001285627175,0.010916240794635516,-0.02672019200587396,1.0
Tandartsen en Tandarts-Specialisten,0.0016851932322244113,0.0067578313373029,-0.001383112877788879,0.004753499342237701,-0.005520984083686398,0.019150002051144366,1.0764630137037348,0.2817202337583594,0.9475838834741691,40,0.09793452694188466,0.3932316610494898,0.4080303289826237,0.011291123892837426,-0.03707886544148946,1.0
Recreatie (SPR),0.0016215107787001274,0.006501835958681257,-0.00526304777610582,0.008506069333506075,-0.020886575444576394,0.034460863627921334,0.46162767031405216,0.6443483481351643,0.9288457148687501,40,0.18767482980175926,0.8459299886016141,0.32752535783840575,-0.008424467250530511,0.020743413074136213,1.0
Bisdommen,0.0015202920702018059,0.0060950500693526255,-0.0019725570942281893,0.005013141234631801,-0.007866913173565582,0.02020385903309463,0.8530908617302532,0.39360891866019876,0.958601957919748,40,0.2264480858793691,0.40470378896478854,0.1348781334973242,0.034716409114658356,-0.01197986886007843,1.0
"Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",0.00148709766876725,0.005961672591443534,-0.004175820701294741,0.007150016038829242,-0.01659894889307245,0.028908265258322574,0.5146918394031835,0.606768376882183,0.9201821904548841,40,0.16679979462980776,0.6146773353270003,0.4539418003558797,-0.007899182538126437,0.018252092792933966,1.0
Avery Dennison,0.001425759386493741,0.005715245882152775,-0.0040433760177499825,0.006894894790737465,-0.01607567488482098,0.02786612998946225,0.5109467660974967,0.6093883330533397,0.9382774937597227,40,0.22827714251310566,0.597936408917267,0.4410260621658601,0.024980080299244076,-0.045010108663177034,1.0
UWV,0.0013625550351544077,0.005461369600047394,-0.0035370709752833287,0.006262181045592144,-0.014073395525462273,0.02528499747236479,0.5450536000435994,0.5857166537606391,0.93681845343464,40,0.15390551013936585,0.3548710988111611,0.46457731314587797,0.03041398562949771,0.08064687180014371,1.0
Mercer,0.0012685824617854466,0.005083993824632538,-0.008280178768167838,0.010817343691738729,-0.03271161301069836,0.04397654116934202,0.260387277118123,0.7945650559559875,0.9031612538296752,40,0.12869873961323186,0.8048820296012942,0.12188213142522805,0.043494249088336115,0.28085942126300256,1.0
Delta Lloyd,0.0011122696420237054,0.004456506936314053,-0.003102740301791173,0.005327279585838583,-0.01235331861049438,0.02148000334630118,0.5172012565860429,0.6050156749425633,0.9493058768543053,32,0.1448179697161378,0.5511862746899048,0.489815071931966,0.019738519347594928,0.14327010670251358,1.0
Bibliotheken openbare,0.0010973066062301931,0.004396456202086174,-0.00319730829956551,0.005391921512025896,-0.012728027153104171,0.02174275083228605,0.5007856293020938,0.6165220004704418,0.9519756759933411,40,0.27615399516380856,0.38592146617251016,0.37111404310697427,0.03854161955974887,-0.04254925396509765,1.0
Particuliere Beveiliging,0.0010566187887239655,0.004233178534350124,-0.0041951862988836505,0.0063084238763315825,-0.01667544269149801,0.025473478565376517,0.3943281855935543,0.6933387565267792,0.9041376358501241,40,0.3220199250476098,0.4935371840763394,0.6374323636586063,-0.06735526934288875,-0.07389378678337888,1.0
Rail & Openbaar Vervoer,0.0010204473546649234,0.004088041546985277,-0.003763110857959555,0.005804005567289401,-0.014967690369030007,0.02341892435377191,0.4181071859821912,0.6758687512599064,0.9355484241010169,40,0.2697625522065232,0.2851212163105031,0.41341696797900174,-0.0004944484296674559,-0.10797825061683207,1.0
