pair,fund_1,fund_2,alpha_quarterly,alpha_annualized,t_alpha,p_alpha,r2,n_obs,beta_equity,beta_duration,beta_credit,beta_real_estate,beta_fx,p_alpha_holm
BPF Foodservice minus Rail & Openbaar Vervoer,BPF Foodservice,Rail & Openbaar Vervoer,0.0023853453621217272,0.009575575005084769,0.9965289106004963,0.3189932272657803,0.8469858955770784,40,-0.152510001376752,0.37624211046233924,0.20021360352025466,0.026805189507584315,0.26256717440573607,1.0
BPF Foodservice minus Rabobankorganisatie,BPF Foodservice,Rabobankorganisatie,0.006015849735431577,0.02428141380490012,1.757600376182596,0.07881552930498413,0.49922987752263925,40,-0.12141208015987993,0.10190632516450435,0.4988106785529366,0.02748381597554729,0.38438127086691,1.0
BPF Foodservice minus Woningcorporaties,BPF Foodservice,Woningcorporaties,0.0056435864270754,0.02276616612372817,2.1054130971763847,0.03525536470715267,0.7643402989574972,40,-0.15812918271006562,0.34373984132426055,0.21222898708277083,-0.04619995792961501,0.1492135589669962,1.0
BPF Foodservice minus Wolters Kluwer Nederland,BPF Foodservice,Wolters Kluwer Nederland,0.004129515400640547,0.016620660958838407,2.020611865994936,0.043319959626905075,0.7366193001916339,40,-0.13504818380708375,0.2196464056546666,0.5006818697187894,-0.035853201136982836,0.2985006333852414,1.0
BPF Foodservice minus Witteveen & Bos,BPF Foodservice,Witteveen & Bos,0.004598033227506058,0.018519373659182214,2.119423191262429,0.03405471860405321,0.5167993084371167,40,-0.14258271365291958,0.10003515865221263,0.5576131121649729,-0.014062541309769451,0.20712985268534567,1.0
BPF Foodservice minus Werk en (re)Integratie,BPF Foodservice,Werk en (re)Integratie,0.005024734962341683,0.02025093571273584,1.9879863172205798,0.04681320326625303,0.8556115457506387,40,-0.22506086293952784,0.47617782187448715,0.2930620378646993,-0.031238896128958422,0.3381292309959509,1.0
BPF Foodservice minus Waterbouw BPF,BPF Foodservice,Waterbouw BPF,0.001796734725666337,0.007206331648410114,0.541667629616064,0.5880474932108297,0.8197978655321729,39,-0.2391856836450621,0.49730989889000615,0.2177844800828714,0.00850612530758431,0.36962150116874515,1.0
BPF Foodservice minus Vopak,BPF Foodservice,Vopak,0.0038492549917084453,0.015486148904328312,1.699910168000934,0.08914782404061657,0.8508128628937508,40,-0.11683847393801783,0.3636314921082926,0.19374592862584772,-0.0011765717719736252,0.1812439461072844,1.0
BPF Foodservice minus Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,BPF Foodservice,Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,0.004257952321527762,0.017140899352041217,2.437703113456268,0.014780907851664795,0.8042154016869798,40,-0.13923985546267523,0.2550185489816816,0.07555911405748078,0.003338112730956704,0.17623990438509585,1.0
"BPF Foodservice minus Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",BPF Foodservice,"Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",0.0019186956461742794,0.0076968992100365785,1.4222202335274825,0.15496232670897367,0.5213881957454742,40,-0.04954733460391551,0.04668607161248329,0.15968993609632226,0.03420969473589727,0.1363371092988525,1.0
BPF Foodservice minus Verloskundigen,BPF Foodservice,Verloskundigen,0.004572779910503196,0.018416964449006867,2.5993368054860793,0.009340407889209694,0.4107052713112399,40,-0.0804963962549569,0.0775228149236992,0.1610140917827821,0.008693796420212013,0.10774260241278973,1.0
BPF Foodservice minus UWV,BPF Foodservice,UWV,0.0020432342183020896,0.008198019847488913,1.194990885774322,0.2320905911040525,0.8449104333650698,40,-0.036652787152570344,0.30649254620474836,0.14905207920432206,-0.004103225110045801,0.07394190313009244,1.0
BPF Foodservice minus Trespa,BPF Foodservice,Trespa,0.00338400141201505,0.01360486957963758,1.2643060041650653,0.20612021537501712,0.19827885445524185,40,0.014759084671307427,-0.06158705521254235,0.20066281420445148,0.03891960546231633,0.02240308922731471,1.0
BPF Foodservice minus Thales,BPF Foodservice,Thales,0.003346318299132658,0.013452610285107136,2.26985612455941,0.023216313956196225,0.8100570214675938,40,-0.18380399375580841,0.2005848771751999,0.17497603990714922,-0.04990604651036474,0.2285504105896837,1.0
BPF Foodservice minus Tandartsen en Tandarts-Specialisten,BPF Foodservice,Tandartsen en Tandarts-Specialisten,0.001720594032186767,0.006900159175340592,0.7601364840825926,0.4471730064542754,0.8389822227920033,40,0.019318313921750187,0.26813201987643764,0.20559863651636134,0.01501960984345762,0.19166741001833984,1.0
BPF Foodservice minus TNO,BPF Foodservice,TNO,0.004179608911267338,0.01682354279068332,1.5075443922258083,0.13167117403695436,0.7047256069654328,40,-0.14826928956113866,0.2778928299208815,0.5369202768506192,-0.05107799951699921,0.22487398358914498,1.0
BPF Foodservice minus TDV,BPF Foodservice,TDV,0.005328125076323929,0.02148343965099886,1.9248692275723585,0.05424572055518604,0.8621451972867257,40,-0.1999193717287232,0.4815728982977531,0.3785954720736768,-0.0741583471411222,0.296922986610153,1.0
BPF Foodservice minus Staples,BPF Foodservice,Staples,0.007771290821788407,0.031449402025739426,2.2673303178529274,0.02337005473449348,0.7121877612705583,40,-0.1504856735169609,0.3732079368818715,0.09951282294315261,-0.010283826384320828,0.2428149447868847,1.0
BPL minus CRH,BPL,CRH,0.005612686874541877,0.02264046926341856,2.2744515090853334,0.02293885346713814,0.48407274627691044,40,-0.03928536873182731,0.05975837095379026,-0.3133841378050238,0.05846965909773842,0.1821118605267077,1.0
BPL minus Brocacef,BPL,Brocacef,0.003739261300539567,0.015041146978628017,2.3936330454725336,0.016682429749382152,0.32342508237326495,40,0.007892808685518539,0.0025835156404634477,-0.21473538827960273,0.027600852069821498,0.10299894461623113,1.0
