fund,year,return_type,dnb_compounded_annual_return,n_quarters,quarters_present,annual_sample_status,official_annual_return,source,source_url,notes,difference,difference_pp,reconciliation_status
Avery Dennison,2024,return_quarterly,0.09809451223999988,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPF Foodservice,2015,return_quarterly,-0.015773159799999936,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPF Foodservice,2016,return_quarterly,0.1285923671,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPF Foodservice,2017,return_quarterly,0.006322025239999807,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPF Foodservice,2018,return_quarterly,0.0037476569119998526,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPF Foodservice,2019,return_quarterly,0.22919235485799994,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPF Foodservice,2020,return_quarterly,0.1368847179799999,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPF Foodservice,2021,return_quarterly,0.02212687462399998,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPF Foodservice,2022,return_quarterly,-0.26078865100000004,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPF Foodservice,2023,return_quarterly,0.09095705809999965,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPF Foodservice,2024,return_quarterly,0.08836236349999993,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPL,2015,return_quarterly,0.02182885092800002,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPL,2016,return_quarterly,0.10719823831999986,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPL,2017,return_quarterly,0.06633241429399961,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPL,2018,return_quarterly,-0.005650634170000113,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPL,2019,return_quarterly,0.1802409131299998,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPL,2020,return_quarterly,0.08289967385599994,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPL,2021,return_quarterly,0.07353496698499962,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPL,2022,return_quarterly,-0.1731423202000002,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPL,2023,return_quarterly,0.08640907100000006,4,"1,2,3,4",complete_year,,,,,,,no_official_return
BPL,2024,return_quarterly,0.09578562001999957,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bakkersbedrijf BPF,2015,return_quarterly,0.006559267424000259,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bakkersbedrijf BPF,2016,return_quarterly,0.0996970375999997,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bakkersbedrijf BPF,2017,return_quarterly,0.03733058869999972,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bakkersbedrijf BPF,2018,return_quarterly,-0.014323783904000131,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bakkersbedrijf BPF,2019,return_quarterly,0.15694370376199984,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bakkersbedrijf BPF,2020,return_quarterly,0.08917248255999999,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bakkersbedrijf BPF,2021,return_quarterly,0.038418312259999476,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bakkersbedrijf BPF,2022,return_quarterly,-0.24050633536,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bakkersbedrijf BPF,2023,return_quarterly,0.08880657828799987,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Bakkersbedrijf BPF,2024,return_quarterly,0.09969465983599957,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Banden- en Wielenbranche,2015,return_quarterly,-0.02634336508800017,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Banden- en Wielenbranche,2016,return_quarterly,0.12062100989000002,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Banden- en Wielenbranche,2017,return_quarterly,0.014525892253999695,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Banden- en Wielenbranche,2018,return_quarterly,-0.009229237549999936,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Banden- en Wielenbranche,2019,return_quarterly,0.24668895120000012,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Banden- en Wielenbranche,2020,return_quarterly,0.12961745965999993,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Banden- en Wielenbranche,2021,return_quarterly,-0.024839200000000172,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Banden- en Wielenbranche,2022,return_quarterly,-0.3138034999999999,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Banden- en Wielenbranche,2023,return_quarterly,0.07584891344000022,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Banden- en Wielenbranche,2024,return_quarterly,0.08549062571599975,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Beroepsvervoer over de Weg,2015,return_quarterly,-0.01175169637300022,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Beroepsvervoer over de Weg,2016,return_quarterly,0.1312435868939994,4,"1,2,3,4",complete_year,,,,,,,no_official_return
