fund,risk_exposure_profile,duration_profile,alpha_interpretation,broad_risky_beta,interest_rate_beta,currency_beta,beta_equity,beta_credit,beta_real_estate,beta_duration,beta_fx,loading_share_equity,loading_share_credit,loading_share_real_estate,loading_share_duration,loading_share_fx_abs,alpha_annualized,p_alpha_holm,r2,n_obs,largest_average_factor_contribution,avg_annualized_simple_contribution_equity,avg_annualized_simple_contribution_duration,avg_annualized_simple_contribution_credit,avg_annualized_simple_contribution_real_estate,avg_annualized_simple_contribution_fx
Kring Douwe Egberts (Stap),hoog risky/rendementsgevoelig,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8879654167038866,0.21354846004775022,-0.18327211375974992,0.33307325953554795,0.5080681706341011,0.04682398653423751,0.21354846004775022,-0.18327211375974992,0.2592441558325009,0.39544965028134643,0.03644496973040626,0.1662132538997806,0.14264797025596584,-0.004905128833607941,1.0,0.969992608131436,27,equity (positief),0.039731835614185085,0.0004933876569509949,0.0034448386452514516,0.0015998178211679454,-0.0022352861721274893
Medewerkers Apotheken,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8843184450879197,0.3903925907682511,-0.16462995412830728,0.31044049394845635,0.5551270771516608,0.01875087398780248,0.3903925907682511,-0.16462995412830728,0.2156823824990937,0.38568142018775364,0.013027402205786338,0.27123009313620755,0.1143787019711588,-0.01848967624753539,1.0,0.9007585053406819,40,equity (positief),0.037032005183322364,0.0009019727213537697,0.0037639106697253347,0.0006406541729680889,-0.002007916275049843
Gazelle psf,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8787342471574684,0.44860693694355075,-0.09037884780019337,0.34421369243426414,0.5250834885168181,0.009437066206386215,0.44860693694355075,-0.09037884780019337,0.24279384130071255,0.3703717777145764,0.0066565090384811555,0.3164284392186749,0.06374943272755491,-0.007171575021089005,1.0,0.9398924498924931,40,equity (positief),0.04106076201680256,0.0010364725901607973,0.0035602070701824333,0.00032243274898174565,-0.0011023094817655518
Kring ANWB (De nationale),hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8771142632298361,0.45007477925170447,-0.2235271778749361,0.2278059636720367,0.654690797000259,-0.005382497442459722,0.45007477925170447,-0.2235271778749361,0.146395573151209,0.4207257479951549,0.0,0.289232793590579,0.14364588526305697,-0.0048268033352818485,1.0,0.9595513444260434,20,equity (positief),0.02717464954457678,0.0010398639294241737,0.0044389794294379895,-0.00018390179837724004,-0.0027262587829019655
Hagee,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8601292017912796,0.460679067670967,-0.13730343476289064,0.3335862413511064,0.49341321458118187,0.03312974585899133,0.460679067670967,-0.13730343476289064,0.228779619822323,0.3383919168548126,0.02272099302336852,0.31594223291402684,0.09416523738546886,-0.014354844374324882,1.0,0.9661992395053365,40,equity (positief),0.039793028485679054,0.001064364340317526,0.003345474107432539,0.0011319317674334443,-0.001674627213136351
Kring 2 - DB premie (Achmea),hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8415357626476744,0.4565619823484896,0.057719502094538584,0.24934830357980714,0.5416382356255363,0.0505492234423309,0.4565619823484896,0.057719502094538584,0.18390996582677785,0.399492067819448,0.037283213169620646,0.33674301114562094,0.04257174203853244,-0.0016621863836557838,1.0,0.9108815643401942,31,equity (positief),0.029744404646364183,0.0010548521243068359,0.003672452701573398,0.0017270966121201567,0.0007039783753634043
Pensioenkring 2 (Stap),hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8332173109558788,0.38760254339804917,-0.1629907891639519,0.2101232403051966,0.594170936188506,0.02892313446217622,0.38760254339804917,-0.1629907891639519,0.1518439255323459,0.42937300632261605,0.020901078191340353,0.2800979637016653,0.11778402625203246,-0.01070652635880709,1.0,0.9446687792861105,27,equity (positief),0.025065302612907483,0.0008955265267314417,0.004028638519734145,0.0009882060324528873,-0.0019879241294719157
Staples,hoog risky/rendementsgevoelig,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8184506260489566,0.2881555576308227,-0.08822586686651018,0.2677382501666986,0.5141179443819528,0.036594431500305204,0.2881555576308227,-0.08822586686651018,0.2240802379248916,0.43028469494678595,0.03062725969191558,0.24116825247454238,0.07383955496186466,-0.01734798187551012,0.7835020596070812,0.9651214865833292,40,equity (positief),0.031938115230524824,0.0006657617450628711,0.003485857736007751,0.0012503083996679874,-0.001076050557747112
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.817534638134212,0.4063453658519214,-0.02165124944110902,0.2564927748658986,0.5380692306873764,0.022972632580936916,0.4063453658519214,-0.02165124944110902,0.2059304205816796,0.43199978258819954,0.01844404346958353,0.3262426091146319,0.01738314424590533,-0.003404312633943807,1.0,0.9596811638635862,40,equity (positief),0.030596658469097003,0.000938830408450358,0.0036482538895897193,0.0007848974366002202,-0.0002640703896089558
Thales,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8159257694494828,0.46077900044993314,-0.07396197279142602,0.3010569258947297,0.4386519982769898,0.07621684527776326,0.46077900044993314,-0.07396197279142602,0.22289504611252542,0.3247670090721958,0.05642905305117797,0.3411492901142693,0.05475960164983155,0.0002378881795250809,1.0,0.9548673391291144,40,equity (positief),0.03591265269040513,0.0010645952274878465,0.0029741783540492566,0.0026040727493249352,-0.0009020803637408203
